region,site,date,detection_type,species_capture,bd_swab_id,crispr_id
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00165,crswab00153
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00166,crswab00154
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00167,crswab00155
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00168,crswab00156
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00169,crswab00157
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00170,crswab00158
pennsylvania,tryon_weber,2022-08-02,capture,eurycea_bislaneata,dryswab00161,crswab00149
pennsylvania,tryon_weber,2022-08-02,capture,rana_clamitans,dryswab00157,crswab00145
pennsylvania,tryon_weber,2022-08-02,capture,plethodon_cinereus,dryswab00163,crswab00151
pennsylvania,tryon_weber,2022-08-02,capture,Desmognathaus_sp.,dryswab00162,crswab00150
pennsylvania,tryon_weber,2022-08-02,capture,bufo_americanus,dryswab00156,crswab00144
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00197,crswab00185
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00239,crswab00226
pennsylvania,rv_pond,2022-09-10,capture,Rana_sp,dryswab00240,crswab00225
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00201,crswab00189
pennsylvania,rv_pond,2022-09-10,capture,notophthalmus_viridescens,dryswab00242,crswab00224
pennsylvania,rv_pond,2022-09-10,capture,Rana_sp,dryswab00243,crswab00223
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00200,crswab00188
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00199,crswab00187
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00196,crswab00184
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00208,crswab00196
pennsylvania,wood_lab_pond,2022-05-04,capture,rana_catesbeiana,2022-05-04-wood-racl2,2022-05-04-wood-racl2
pennsylvania,wood_lab_pond,2022-05-04,capture,pseudacris_crucifer,2022-05-04-wood-pscr3,2022-05-04-wood-pscr3
pennsylvania,wood_lab_pond,2022-05-04,capture,rana_catesbeiana,2022-05-04-wood-raca4,2022-05-04-wood-raca4
pennsylvania,wood_lab_pond,2022-05-04,capture,rana_clamitans,2022-05-04-wood-racl5,2022-05-04-wood-racl5
pennsylvania,phelps_pond,2022-05-05,capture,rana_catesbeiana,2022-05-05-phelps-raca1,2022-05-05-phelps-raca1
pennsylvania,admin_pond,2022-05-11,capture,pseudacris_crucifer,2022-05-11-admin-pscr1,2022-05-11-admin-pscr1
pennsylvania,phelps_pond,2022-05-05,capture,rana_catesbeiana,2022-05-05-phelps-raca15,2022-05-05-phelps-raca15
pennsylvania,phelps_pond,2022-05-05,capture,rana_clamitans,2022-05-05-phelps-racl2,2022-05-05-phelps-racl2
pennsylvania,phelps_pond,2022-05-05,capture,rana_clamitans,2022-05-05-phelps-racl3,2022-05-05-phelps-racl3
pennsylvania,phelps_pond,2022-05-05,capture,rana_clamitans,2022-05-05-phelps-racl4,2022-05-05-phelps-racl4
pennsylvania,phelps_pond,2022-05-05,capture,rana_catesbeiana,2022-05-05-phelps-raca5,2022-05-05-phelps-raca5
pennsylvania,phelps_pond,2022-05-05,capture,rana_clamitans,2022-05-05-phelps-racl6,2022-05-05-phelps-racl6
pennsylvania,phelps_pond,2022-05-05,capture,rana_clamitans,2022-05-05-phelps-racl7,2022-05-05-phelps-racl7
pennsylvania,phelps_pond,2022-05-05,capture,rana_clamitans,2022-05-05-phelps-racl8,2022-05-05-phelps-racl8
pennsylvania,phelps_pond,2022-05-05,capture,rana_catesbeiana,2022-05-05-phelps-raca9,2022-05-05-phelps-raca9
pennsylvania,phelps_pond,2022-05-05,capture,rana_clamitans,2022-05-05-phelps-racl10,2022-05-05-phelps-racl10
pennsylvania,phelps_pond,2022-05-05,capture,pseudacris_crucifer,2022-05-05-phelps-pscr11,2022-05-05-phelps-pscr11
pennsylvania,phelps_pond,2022-05-05,capture,pseudacris_crucifer,2022-05-05-phelps-pscr12,2022-05-05-phelps-pscr12
pennsylvania,phelps_pond,2022-05-05,capture,pseudacris_crucifer,2022-05-05-phelps-pscr13,2022-05-05-phelps-pscr13
pennsylvania,phelps_pond,2022-05-05,capture,pseudacris_crucifer,2022-05-05-phelps-pscr14,2022-05-05-phelps-pscr14
